ProductCode,Product Description,Brand,Range,Sub Range,Cabinet Layout,Door or Drawer Configuration,No of Doors or Drawers,Family,Cabinet Edge,Mounting,Basin Included,No of Bowls,Bowl Configuration,Benchtop Material,Benchtop Colour,Cabinet Material,Cabinet Colour,ProductHandleType (values),Handle Colour Category,Handle Colour Finish,Width Precise (mm),Width Category (mm),Exclude
12219,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 12mm Durasein Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Durasein,Arctic White;Blossoming;Iceberg;Nimbus;Pepper Mill;Sakal;Terra Italia;Winter Woods,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
14773,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 20mm Caesarstone Mineral Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit Caesarstone Mineral Top,,Floor,No,Single,Centre,Caesarstone,Organic White;Cloudburst Concrete;Attera Blanca;Arabetto;Frosty Carrina;Brillianza;Intense White;Symphony Grey;Cosmopolitan White;Bianco Drift;Pure White;Black Tempal,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
2351269,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 20mm Cherry Pie Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Cherry Pie,Alabaster;Bright White;Frost;Grey Travertine;Carrera;Mont Blanc;Michelangelo;Calacatta;Leonardo;Tuscan Travertine;Tundra Grey,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
28299,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 50mm Caesarstone Mineral Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Caesarstone,Organic White;Cloudburst Concrete;Attera Blanca;Arabetto;Frosty Carrina;Brillianza;Intense White;Symphony Grey;Cosmopolitan White;Bianco Drift;Pure White;Black Tempal,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
28298,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 50mm Cherry Pie Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Cherry Pie,Alabaster;Bright White;Frost;Grey Travertine;Carrera;Mont Blanc;Michelangelo;Calacatta;Leonardo;Tuscan Travertine;Tundra Grey,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
28300,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 50mm Durasein Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Durasein,Arctic White;Blossoming;Iceberg;Nimbus;Pepper Mill;Sakal;Terra Italia;Winter Woods,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
28649,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 90mm Caesarstone Mineral Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Caesarstone,Organic White;Cloudburst Concrete;Attera Blanca;Arabetto;Frosty Carrina;Brillianza;Intense White;Symphony Grey;Cosmopolitan White;Bianco Drift;Pure White;Black Tempal,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
28648,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 90mm Cherry Pie Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Cherry Pie,Alabaster;Bright White;Frost;Grey Travertine;Carrera;Mont Blanc;Michelangelo;Calacatta;Leonardo;Tuscan Travertine;Tundra Grey,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
28650,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin 90mm Durasein Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit (No Basin),,Floor,No,Single,Centre,Durasein,Arctic White;Blossoming;Iceberg;Nimbus;Pepper Mill;Sakal;Terra Italia;Winter Woods,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
2351825,Posh Domaine Plus Ensuite 1200mm Floor Mounted Vanity Centre Basin Cast Marble Top,Posh,Domaine Plus,,Ensuite,Doors and Drawers,2 Doors and 3 Drawers,Posh Domaine Plus Ensuite Floor Mount Vanity Unit,,Floor,Yes,Single,Centre,Marble,White Cast Marble,Laminate;Laminate (Woodgrain);Polyurethane,Matte Feather Grey;Matte Black;Matte White;Gloss White;Matte Amaro Silk;Matte Black Silk;Matte Natural Walnut Silk;Matte Grey Nouveau Silk;Matte Plantation Ash Silk;Matte Polar White Silk;Gloss Polar White Silk;Matte Autumn Oak Velour Silk;Matte Golden Oak Velour Silk;Matte Palomera Oak Silk;Matte Soft Oak Velour Silk;Matte White Painted Wood Natural;Textured Ligurian Walnut Woodmatt;Textured Angora Oak Woodmatt;Textured Blonde Oak Woodmatt;Textured Ecru Oak Woodmatt;Textured Natural Oak Ravine;Textured Coastal Oak Woodmatt;Textured Rural Oak Chalk;Textured Antico Oak Woodmatt;Textured Prime Oak Woodmatt;Textured Tasmanian Oak Woodmatt;Textured Elegant Oak Absolute Grain;Textured Boston Oak Woodmatt;Textured Notaio Walnut Woodmatt;Textured Australian Native Woodmatt;Textured Florentine Walnut Woodmatt;Textured Sepia Walnut Absolute Grain;Textured Bottega Oak Woodmatt;Textured Perugian Walnut Woodmatt;Textured Estella Oak Woodmatt;Topiary Smooth,Bridge;Classic Knob;Cross Bar;Flat-D;Link;Orbit;Plus;Seashell;Sydney;Aria;Blaze;Cooper Knob;Fluted;Francis;Fringe;Hammer;Loop Leather Pull;Point Knob;Reign Knob;Stirling,,,1200,1200,checked
